pmid,doi,title,journal,year,access_tier,status,pdf_path,attempts,notes
35705335,,Steroid use for established bronchopulmonary dysplasia: study protocol for a systematic review and meta-analysis.,,2022,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
41430414,,Efficacy of pulmonary surfactant with budesonide in infants born at or less than 28 weeks' gestation: a systematic revie,,2025,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;05_inhaled_budesonide; in_evidence_table=yes
42205720,,Real-world use of hydrocortisone and dexamethasone in the prevention and treatment of bronchopulmonary dysplasia in pret,,2026,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
40360237,,Postnatal dexamethasone treatment for preterm infants at high risk for bronchopulmonary dysplasia is associated with imp,,2025,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
39694682,,Postnatal betamethasone treatment in extremely preterm infants and risk of neurodevelopmental impairment: a cohort study,,2025,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
40987824,,Total hydrocortisone dosage in extremely low birth weight infants and neurodevelopment up to school age.,,2026,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
39556404,,"Systemic Postnatal Corticosteroids, Bronchopulmonary Dysplasia, and Survival Free of Cerebral Palsy.",,2025,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused; in_evidence_table=yes
40911503,,Cognitive Outcomes of Extremely Preterm Infants at 6.5 Years after Postnatal Corticosteroid Treatment: A Pilot Study.,,2025,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
38043512,,Total Hydrocortisone Dosage in the Neonatal Period May Be Related to Low Developmental Quotient in Extremely Low Birth W,,2024,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
36396314,,Postnatal corticosteroid use for prevention or treatment of bronchopulmonary dysplasia in England and Wales 2012-2019: a,,2022,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide; in_evidence_table=yes
38295780,,Neurodevelopment in Term Infants with Normal Birthweight following Postnatal Systemic Steroid Exposure.,,2024,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
37256621,,Heterogeneity of Treatment Effects of Hydrocortisone by Risk of Bronchopulmonary Dysplasia or Death Among Extremely Pret,,2023,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
35275165,,"Dexamethasone, Prednisolone, and Methylprednisolone Use and 2-Year Neurodevelopmental Outcomes in Extremely Preterm Infa",,2022,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;05_inhaled_budesonide;06_school_age_adult; in_evidence_table=yes
37722765,,Identifying effect modifiers of systemic hydrocortisone treatment initiated 7-14 days after birth in ventilated very pre,,2024,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused; in_evidence_table=yes
29475879,,Corticosteroids for the prevention of bronchopulmonary dysplasia in preterm infants: a network meta-analysis.,,2018,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide; in_evidence_table=yes
31144162,,Efficacy and safety of systemic hydrocortisone for the prevention of bronchopulmonary dysplasia in preterm infants: a sy,,2019,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
29113376,,"Efficacy of glucocorticoids, vitamin A and caffeine therapies for neonatal mortality in preterm infants: a network meta-",,2017,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide; in_evidence_table=yes
25206867,,Effect of dexamethasone on intelligence and hearing in preterm infants: a meta-analysis.,,2014,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
26420776,,Use of inhaled corticosteroids for the prevention and/or treatment of bronchopulmonary dysplasia in preterm infants: a s,,2015,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;05_inhaled_budesonide;06_school_age_adult; in_evidence_table=yes
41301858,,Cumulative Hydrocortisone Exposure and Early Brain Volumetrics in Very Low Birth Weight Infants: Associations with Neuro,,2025,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
39935572,,Neurodevelopmental Outcome at 20 Months Corrected Age in Extremely Preterm Infants After Exposure to Dexamethasone and H,,2025,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
41391545,,Effect of Systemic Hydrocortisone in Ventilated Infants Born Preterm: Mortality and 5.5-Year Neurodevelopmental Outcomes,,2026,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused; in_evidence_table=yes
37955745,,Neurodevelopment at 24 months corrected age in extremely preterm infants treated with dexamethasone alternatives during ,,2024,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
40983658,,Neurodevelopmental outcome in infants with neonatal encephalopathy receiving hydrocortisone during therapeutic hypotherm,,2025,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused; in_evidence_table=yes
40579659,,Systemic corticosteroid use and neurodevelopmental outcomes in preterm infants: a cohort study.,,2025,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused; in_evidence_table=yes
36360415,,Timing of Systemic Steroids and Neurodevelopmental Outcomes in Infants < 29 Weeks Gestation,,2022,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
38114242,,Factors associated with the response to postnatal dexamethasone use in very low birthweight infants: a nationwide cohort,,2023,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;05_inhaled_budesonide; in_evidence_table=yes
37089932,,Postnatal corticosteroid exposure in very preterm infants: A French cohort study.,,2023,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;05_inhaled_budesonide; in_evidence_table=yes
32883333,,Hydrocortisone to treat early bronchopulmonary dysplasia in very preterm infants: study protocol for a randomized contro,,2020,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
37340101,,Interaction of hydrocortisone and illness severity on head growth in cohort of ELBW infants.,,2023,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
26376074,,Neurodevelopmental Outcomes of Extremely Preterm Infants Randomized to Stress Dose Hydrocortisone.,,2015,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
30694322,,Effect of Hydrocortisone Therapy Initiated 7 to 14 Days After Birth on Mortality or Bronchopulmonary Dysplasia Among Ver,,2019,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
19204058,,"Impact of postnatal corticosteroid use on neurodevelopment at 18 to 22 months' adjusted age: effects of dose, timing, an",,2009,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
22070744,,Systemic Hydrocortisone To Prevent Bronchopulmonary Dysplasia in preterm infants (the SToP-BPD study); a multicenter ran,,2011,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
23140612,,Pilot randomized trial of hydrocortisone in ventilator-dependent extremely preterm infants: effects on regional brain vo,,2013,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
11248841,,The adverse neuro-developmental effects of postnatal steroids in the preterm infant: a systematic review of RCTs.,,2001,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused; in_evidence_table=yes
19117904,,Finding the optimal postnatal dexamethasone regimen for preterm infants at risk of bronchopulmonary dysplasia: a systema,,2009,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;06_school_age_adult; in_evidence_table=yes
26840339,,Systematic Review of Inhaled Bronchodilator and Corticosteroid Therapies in Infants with Bronchopulmonary Dysplasia: Imp,,2016,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;05_inhaled_budesonide;06_school_age_adult; in_evidence_table=yes
9797621,,Systematic review and meta-analysis of early postnatal dexamethasone for prevention of chronic lung disease.,,1998,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused; in_evidence_table=yes
20331899,,Inhaled nitric oxide in preterm infants: a systematic review and individual patient data meta-analysis.,,2010,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;06_school_age_adult; in_evidence_table=yes
41710163,,Early postnatal changes in thyroid-stimulating hormone and subsequent neurodevelopment in preterm infants.,,2025,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core; in_evidence_table=yes
36967444,,Systemic postnatal corticosteroid use for the prevention of bronchopulmonary dysplasia and its relationship to early neu,,2023,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused; in_evidence_table=yes
38781715,,The use of two or more courses of low-dose systemic dexamethasone to extubate ventilator-dependent preterm neonates may ,,2024,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core; in_evidence_table=yes
40049150,,Early Postnatal Weight Loss and Its Association with Outcomes in Very Preterm Neonates: A Systematic Review and Meta-Ana,,2025,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core; in_evidence_table=yes
38158399,,The impact of early tracheostomy on neurodevelopmental outcomes of infants with severe bronchopulmonary dysplasia expose,,2024,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core; in_evidence_table=yes
39025935,,Socioeconomic disparities in the postnatal growth of preterm infants: a systematic review.,,2025,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core; in_evidence_table=yes
32020038,,Timing of postnatal steroids for bronchopulmonary dysplasia: association with pulmonary and neurodevelopmental outcomes.,,2020,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
33942570,,Intra-tracheal surfactant/budesonide versus surfactant alone: Comparison of two consecutive cohorts of extremely preterm,,2021,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;05_inhaled_budesonide;06_school_age_adult; in_evidence_table=yes
28973344,,Effect of Inhaled Nitric Oxide on Survival Without Bronchopulmonary Dysplasia in Preterm Infants: A Randomized Clinical ,,2017,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;06_school_age_adult; in_evidence_table=yes
29734948,,Inhaled corticosteroids in ventilated preterm neonates: a non-randomized dose-ranging study.,,2018,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;05_inhaled_budesonide; in_evidence_table=yes
28384828,,Association Between Early Low-Dose Hydrocortisone Therapy in Extremely Preterm Neonates and Neurodevelopmental Outcomes ,,2017,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused; in_evidence_table=yes
31349916,,Randomized Trial of 42-Day Compared with 9-Day Courses of Dexamethasone for the Treatment of Evolving Bronchopulmonary D,,2019,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;06_school_age_adult; in_evidence_table=yes
29796117,,Postnatal relative adrenal insufficiency results in methylation of the glucocorticoid receptor gene in preterm infants: ,,2018,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
20138299,,Two-year neurodevelopmental outcomes of ventilated preterm infants treated with inhaled nitric oxide.,,2010,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;06_school_age_adult; in_evidence_table=yes
17606560,,Growth and neurodevelopmental outcomes after early low-dose hydrocortisone treatment in extremely low birth weight infan,,2007,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused; in_evidence_table=yes
20389126,,Dexamethasone treatment in the first week of life for preventing bronchopulmonary dysplasia in preterm infants: a system,,2010,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts; in_evidence_table=yes
20453523,,Dexamethasone treatment after the first week of life for bronchopulmonary dysplasia in preterm infants: a systematic rev,,2010,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts; in_evidence_table=yes
33482400,,Dexamethasone versus betamethasone for preterm birth: a systematic review and network meta-analysis.,,2021,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts; in_evidence_table=yes
28880260,,Barriers to enrollment in a randomized controlled trial of hydrocortisone for cardiovascular insufficiency in term and l,,2017,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused; in_evidence_table=yes
15610049,,Management of bronchopulmonary dysplasia in infants: guidelines for corticosteroid use.,,2005,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused; in_evidence_table=yes
23992673,,Death or neurodevelopmental impairment at 18 to 22 months corrected age in a randomized trial of early dexamethasone to ,,2014,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused; in_evidence_table=yes
26500107,,Randomized Trial of Late Surfactant Treatment in Ventilated Preterm Infants Receiving Inhaled Nitric Oxide.,,2016,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused; in_evidence_table=yes
17382109,,Neonatal hydrocortisone treatment: neurodevelopmental outcome and MRI at school age in preterm-born children.,,2007,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
9175947,,Randomised trial of dopamine compared with hydrocortisone for the treatment of hypotensive very low birthweight infants.,,1997,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused; in_evidence_table=yes
11882552,,Follow up of a randomised trial of two different courses of dexamethasone for preterm babies at risk of chronic lung dis,,2002,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;06_school_age_adult; in_evidence_table=yes
18595991,,Effects of higher versus lower dexamethasone doses on pulmonary and neurodevelopmental sequelae in preterm infants at ri,,2008,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts; in_evidence_table=yes
17848504,,Postnatal hydrocortisone treatment for chronic lung disease in the preterm newborn and long-term neurodevelopmental foll,,2008,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused; in_evidence_table=yes
10760004,,Postnatal corticosteroids in preterm infants: systematic review of effects on mortality and motor function.,,2000,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts; in_evidence_table=yes
17568152,,"Early low-dose hydrocortisone in very preterm infants: a randomized, placebo-controlled trial.",,2007,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused; in_evidence_table=yes
12042579,,Controlled trial of early dexamethasone treatment for the prevention of chronic lung disease in preterm infants: a 3-yea,,2002,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;06_school_age_adult; in_evidence_table=yes
