record_id,pmid,doi,title,year,source_database,screening_round,decision,reason_code,confidence,reviewer,conflict_status,fulltext_status,citation_scope,notes
PNCS-IN-0014,41710163,10.3389/fendo.2025.1745327,Early postnatal changes in thyroid-stimulating hormone and subsequent neurodevelopment in preterm infants.,2025,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core; screen_result=abstract_pass
PNCS-IN-0015,40911503,10.1159/000548091,Cognitive Outcomes of Extremely Preterm Infants at 6.5 Years after Postnatal Corticosteroid Treatment: A Pilot Study.,2025,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0016,38597338,10.1002/14651858.cd013271.pub2,Corticosteroids for the prevention and treatment of bronchopulmonary dysplasia: an overview of systematic reviews.,2024,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0017,39604779,10.1007/s00431-024-05840-9,Late postnatal steroid treatment using oral betamethasone can help to close ductus arteriosus in extremely preterm infants who cannot be weaned from ventilation.,2024,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused; screen_result=abstract_pass
PNCS-IN-0018,40579659,10.1007/s12519-025-00932-4,Systemic corticosteroid use and neurodevelopmental outcomes in preterm infants: a cohort study.,2025,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused; screen_result=abstract_pass
PNCS-IN-0019,40975716,10.1038/s41372-025-02424-9,Use of hydrocortisone in extremely preterm infants: emphasis on those born least mature.,2025,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused; screen_result=abstract_pass
PNCS-IN-0020,40723093,10.3390/children12070900,Clinical Presentation of Postnatally Acquired Cytomegalovirus Infection in Preterm Infants-A Case Series Report.,2025,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0021,36360415,10.3390/children9111687,Timing of Systemic Steroids and Neurodevelopmental Outcomes in Infants < 29 Weeks Gestation,2022,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0022,38043512,10.1159/000534934,Total Hydrocortisone Dosage in the Neonatal Period May Be Related to Low Developmental Quotient in Extremely Low Birth Weight Infants: A Retrospective Cohort Study.,2024,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0023,40741174,10.3389/fendo.2025.1587891,"Perinatal glucocorticoid sensitivity in the preterm newborn: molecular mechanisms, endogenous determinants, and clinical implications.",2025,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0024,39223342,10.1038/s41372-024-02097-w,Systemic steroids and bronchopulmonary dysplasia: a systematic review and meta-analysis.,2026,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0025,38114242,10.1136/bmjpo-2023-002302,Factors associated with the response to postnatal dexamethasone use in very low birthweight infants: a nationwide cohort study.,2023,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused;05_inhaled_budesonide; screen_result=abstract_pass
PNCS-IN-0026,36396314,10.1136/bmjopen-2022-063835,Postnatal corticosteroid use for prevention or treatment of bronchopulmonary dysplasia in England and Wales 2012-2019: a retrospective population cohort study.,2022,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide; screen_result=abstract_pass
PNCS-IN-0027,37650547,10.1002/14651858.cd013730.pub2,"Systemic corticosteroids for the prevention of bronchopulmonary dysplasia, a network meta-analysis.",2023,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0028,40003299,10.3390/children12020197,Postnatal Growth Assessment of the Very-Low-Birth-Weight Preterm Infant.,2025,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0029,39787118,10.1371/journal.pone.0312561,Efficacy of pulmonary surfactant with budesonide in premature infants: A systematic review and meta-analysis.,2025,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide; screen_result=abstract_pass
PNCS-IN-0030,36967444,10.1007/s12519-023-00708-8,Systemic postnatal corticosteroid use for the prevention of bronchopulmonary dysplasia and its relationship to early neurodevelopment in extremely preterm infants.,2023,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused; screen_result=abstract_pass
PNCS-IN-0031,41222028,10.1002/ppul.71335,Adding Early Postnatal Parameters of Ventilation to Prognostic Models for Pulmonary Outcome in Very Preterm Infants.,2025,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core; screen_result=abstract_pass
PNCS-IN-0032,37089932,10.3389/fphar.2023.1170842,Postnatal corticosteroid exposure in very preterm infants: A French cohort study.,2023,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused;05_inhaled_budesonide; screen_result=abstract_pass
PNCS-IN-0033,40797023,10.1038/s41372-025-02374-2,Categorizing weight growth of infants born before 32 weeks' gestation using the 2023 postnatal growth charts for preterm infants.,2025,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core; screen_result=abstract_pass
PNCS-IN-0034,35564997,10.3390/ijerph19095600,Systemic Steroids in Preventing Bronchopulmonary Dysplasia (BPD): Neurodevelopmental Outcome According to the Risk of BPD in the EPICE Cohort.,2022,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0035,36436670,10.1016/j.jped.2022.10.007,Use of budesonide associated with a pulmonary surfactant to prevent bronchopulmonary dysplasia in premature newborns - A systematic review.,2023,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;02_systematic_reviews;03_rcts;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0036,36043724,10.2174/1573396318666220804100251,Current Concepts of Corticosteroids Use for the Prevention of Bronchopulmonary Dysplasia.,2023,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused;05_inhaled_budesonide; screen_result=abstract_pass
PNCS-IN-0037,36404722,10.1111/jpc.16286,Systemic postnatal corticosteroids and magnetic resonance imaging measurements of corpus callosum and cerebellum of extremely preterm infants.,2023,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused; screen_result=abstract_pass
PNCS-IN-0038,36608916,10.1016/j.neubiorev.2023.105034,"Effects of postnatal glucocorticoids on brain structure in preterm infants, a scoping review.",2023,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0039,37166345,10.1159/000530128,"Trends, Characteristic, and Outcomes of Preterm Infants Who Received Postnatal Corticosteroid: A Cohort Study from 7 High-Income Countries.",2023,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;01_core;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0040,38295780,10.1159/000536100,Neurodevelopment in Term Infants with Normal Birthweight following Postnatal Systemic Steroid Exposure.,2024,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0041,40611221,10.1186/s13052-025-02035-2,Inhaled nitric oxide therapy in preterm infants born before 34 weeks of gestation: a nationwide multicenter study.,2025,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core; screen_result=abstract_pass
PNCS-IN-0042,34400792,10.1038/s41390-021-01624-1,Postnatal glucocorticoid use impacts renal function in VLBW neonates.,2022,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused; screen_result=abstract_pass
PNCS-IN-0043,36521169,10.1002/14651858.cd002311.pub5,Late (≥ 7 days) inhaled corticosteroids to reduce bronchopulmonary dysplasia in preterm infants.,2022,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0044,37256621,10.1001/jamanetworkopen.2023.15315,Heterogeneity of Treatment Effects of Hydrocortisone by Risk of Bronchopulmonary Dysplasia or Death Among Extremely Preterm Infants in the National Institute of Child Health and Human Development Neonatal Research Network Trial: A Secondary Analysis of a Randomized Clinical Trial.,2023,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;03_rcts;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0045,35320643,10.1056/nejmoa2114897,Hydrocortisone to Improve Survival without Bronchopulmonary Dysplasia.,2022,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0046,38027255,10.3389/fped.2023.1261316,Comparing low-dose (DART) and enhanced low-dose dexamethasone regimens in preterm infants with bronchopulmonary dysplasia.,2023,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused; screen_result=abstract_pass
PNCS-IN-0047,29063585,10.1002/14651858.cd001146.pub5,Early (&lt; 8 days) systemic postnatal corticosteroids for prevention of bronchopulmonary dysplasia in preterm infants.,2017,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0048,35821876,10.5005/jp-journals-11002-0009,Let's Talk about Dex: When do the Benefits of Dexamethasone for Prevention of Bronchopulmonary Dysplasia Outweigh the Risks?,2022,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0049,29063594,10.1002/14651858.cd001145.pub4,Late (&gt; 7 days) systemic postnatal corticosteroids for prevention of bronchopulmonary dysplasia in preterm infants.,2017,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0050,37169913,10.1038/s41372-023-01692-7,Preterm lung and brain responses to mechanical ventilation and corticosteroids.,2023,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused;05_inhaled_budesonide; screen_result=abstract_pass
PNCS-IN-0051,35275165,10.1001/jamanetworkopen.2022.1947,"Dexamethasone, Prednisolone, and Methylprednisolone Use and 2-Year Neurodevelopmental Outcomes in Extremely Preterm Infants.",2022,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;03_rcts;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0052,33720274,10.1001/jamapediatrics.2020.6826,Assessment of Postnatal Corticosteroids for the Prevention of Bronchopulmonary Dysplasia in Preterm Neonates: A Systematic Review and Network Meta-analysis.,2021,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0053,38781715,10.1016/j.earlhumdev.2024.106050,The use of two or more courses of low-dose systemic dexamethasone to extubate ventilator-dependent preterm neonates may be associated with a higher prevalence of cerebral palsy at two years of corrected age.,2024,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core; screen_result=abstract_pass
PNCS-IN-0054,30013381,10.2147/ijgm.s158184,Evaluating the use of corticosteroids in preventing and treating bronchopulmonary dysplasia in preterm neonates.,2018,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0055,33975319,10.1159/000515950,Postnatal Corticosteroids to Prevent or Treat Bronchopulmonary Dysplasia.,2021,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;03_rcts;04_hydrocortisone_focused; screen_result=abstract_pass
PNCS-IN-0056,40049150,10.1159/000545106,Early Postnatal Weight Loss and Its Association with Outcomes in Very Preterm Neonates: A Systematic Review and Meta-Analysis.,2025,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core; screen_result=abstract_pass
PNCS-IN-0057,38591664,10.1002/14651858.cd003214.pub4,Inhaled bronchodilators for the prevention and treatment of chronic lung disease in preterm infants.,2024,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;02_systematic_reviews;03_rcts;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0058,38158399,10.1038/s41372-023-01864-5,The impact of early tracheostomy on neurodevelopmental outcomes of infants with severe bronchopulmonary dysplasia exposed to postnatal corticosteroids.,2024,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core; screen_result=abstract_pass
PNCS-IN-0059,32883333,10.1186/s13063-020-04698-0,Hydrocortisone to treat early bronchopulmonary dysplasia in very preterm infants: study protocol for a randomized controlled trial.,2020,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;03_rcts;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0060,37722765,10.1136/archdischild-2023-325558,Identifying effect modifiers of systemic hydrocortisone treatment initiated 7-14 days after birth in ventilated very preterm infants on long-term outcome: secondary analysis of a randomised controlled trial.,2024,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;03_rcts;04_hydrocortisone_focused; screen_result=abstract_pass
PNCS-IN-0061,41058786,10.7759/cureus.91731,Assessment of Determinants and Causes of Preterm Births Among Postnatal Mothers: A Retrospective Study.,2025,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core; screen_result=abstract_pass
PNCS-IN-0062,39025935,10.1038/s41390-024-03384-0,Socioeconomic disparities in the postnatal growth of preterm infants: a systematic review.,2025,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core; screen_result=abstract_pass
PNCS-IN-0063,32765169,10.1093/pch/pxaa073,Postnatal corticosteroids to prevent or treat bronchopulmonary dysplasia in preterm infants.,2020,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused;05_inhaled_budesonide; screen_result=abstract_pass
PNCS-IN-0064,35705335,10.1136/bmjopen-2021-059553,Steroid use for established bronchopulmonary dysplasia: study protocol for a systematic review and meta-analysis.,2022,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0065,29475879,10.1136/archdischild-2017-313759,Corticosteroids for the prevention of bronchopulmonary dysplasia in preterm infants: a network meta-analysis.,2018,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide; screen_result=abstract_pass
PNCS-IN-0066,32020038,10.1038/s41372-020-0594-4,Timing of postnatal steroids for bronchopulmonary dysplasia: association with pulmonary and neurodevelopmental outcomes.,2020,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0067,28141913,10.1002/14651858.cd010941.pub2,Systemic corticosteroid regimens for prevention of bronchopulmonary dysplasia in preterm infants.,2017,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0068,34964559,10.1002/ppul.25805,Corticosteroids in the prevention and treatment of infants with bronchopulmonary dysplasia: Part I. systemic corticosteroids.,2022,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core; screen_result=abstract_pass
PNCS-IN-0069,29523175,10.1186/s13063-018-2505-y,Systemic Hydrocortisone To Prevent Bronchopulmonary Dysplasia in preterm infants (the SToP-BPD study): statistical analysis plan.,2018,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0070,31144162,10.1007/s00431-019-03398-5,Efficacy and safety of systemic hydrocortisone for the prevention of bronchopulmonary dysplasia in preterm infants: a systematic review and meta-analysis.,2019,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0071,33942570,10.1002/ppul.25415,Intra-tracheal surfactant/budesonide versus surfactant alone: Comparison of two consecutive cohorts of extremely preterm infants.,2021,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0072,29041034,10.1002/14651858.cd002058.pub3,Inhaled versus systemic corticosteroids for preventing bronchopulmonary dysplasia in ventilated very low birth weight preterm neonates.,2017,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0073,37340101,10.1038/s41390-023-02689-w,Interaction of hydrocortisone and illness severity on head growth in cohort of ELBW infants.,2023,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
